id,shoprenter,mall,param,value
352,Otthon és kert > Háztartási termékek > Lábtörlők,NK049,DOORMAT,YES
438,Otthon és kert > Háztartási termékek > Pénztárcák,NA085,TYPE,tárca
423,Otthon és kert > Háztartási termékek > Személyi mérleg,EB012,,
409,Otthon és kert > Háztartási termékek > Szúnyogháló,NA104,,
206,Otthon és kert > Háztartási termékek > Takarító eszközök,ND158,,
443,Otthon és kert > Háztartási termékek > Vákuumozó,EB081,,
417,Otthon és kert > Háztartási termékek > Varrógépek,EB016,OVERLOCK,NO
402,Otthon és kert > Horgász felszerelés,-,,
412,Otthon és kert > Horgász felszerelés > Horgász mérleg,MP107FE,,
405,Otthon és kert > Horgász felszerelés > Kapásjelző,MP114FE,,
404,Otthon és kert > Horgász felszerelés > Székek,MP061FE,,
158,Otthon és kert > Izzók,-,,
223,Otthon és kert > Izzók > Gömb led izzó,-,,
225,Otthon és kert > Izzók > Gömb led izzó csere csomag,-,,
221,Otthon és kert > Izzók > Kukorica Led izzó,-,,
222,Otthon és kert > Izzók > Kukorica led izzó csere csomag,-,,
159,Otthon és kert > Izzók > Kültéri reflektorok,-,,
226,Otthon és kert > Izzók > Led mécsesek,-,,
168,Otthon és kert > Izzók > Led szalag - kis lámpák,-,,
161,Otthon és kert > Kerti termékek,-,,
332,Otthon és kert > Kerti termékek > Akkumulátoros,-,,
238,Otthon és kert > Kerti termékek > Függőágyak,ND446,,
451,Otthon és kert > Kerti termékek > Grill,ND051,,
452,Otthon és kert > Kerti termékek > Medence kiegészítők,ND121,,
316,Otthon és kert > Kerti termékek > Öntözés,ND107,,
239,Otthon és kert > Kerti termékek > Párakapu,-,,
240,Otthon és kert > Kerti termékek > Pavilonok,ND122,,
224,"Otthon és kert > Kerti termékek > Rovarcsapdák, szúnyogriasztók",ND156,,
333,Otthon és kert > Kerti termékek > Sátrak,NA155,,
210,Otthon és kert > Kerti termékek > Solár lámpák,-,,
227,Otthon és kert > Konyhai termékek,-,,
229,Otthon és kert > Konyhai termékek > Edény garnitúrák,NK046,SET_OF_POTS,YES
469,Otthon és kert > Konyhai termékek > Fazekak,NK046,,
418,Otthon és kert > Konyhai termékek > Főzőlapok,EA020,,
335,Otthon és kert > Konyhai termékek > Fűszertartó,NK060,,
460,Otthon és kert > Konyhai termékek > Gázfőzők,NA179,,
337,Otthon és kert > Konyhai termékek > Grill eszközök,ND134,,
455,Otthon és kert > Konyhai termékek > Húsdarálók,EB078,,
349,Otthon és kert > Konyhai termékek > Kés tartozékok,NK053,,
300,"Otthon és kert > Konyhai termékek > Kések - Szeletelők, vágók",NK052,,
232,Otthon és kert > Konyhai termékek > Szeletelők,EB104,EB104_TYPE,zöldségszeletelő
346,Otthon és kert > Konyhai termékek > Késélezők,NK053,TYPE_NK053,élező
466,Otthon és kert > Konyhai termékek > Konyhai különlegesség,EB020,,
463,Otthon és kert > Konyhai termékek > Konyhai textilek,NK102,,
302,Otthon és kert > Konyhai termékek > Kulacsok,NB060,,
415,Otthon és kert > Konyhai termékek > Melegszendvics sütő,EB030,SANDWICH,YES
421,Otthon és kert > Konyhai termékek > Mérlegek,NK071,,
320,Otthon és kert > Konyhai termékek > Mini sütő,-,,
233,Otthon és kert > Konyhai termékek > Mixerek - Evőeszközök,EB027,,
457,Otthon és kert > Konyhai termékek > Olajsütő,EB026,,
330,Otthon és kert > Konyhai termékek > Ollók,NK061,,
234,Otthon és kert > Konyhai termékek > Polcok - Tárolok - állványok - Rendezők - Táskák,NK043,,
230,Otthon és kert > Konyhai termékek > Serpenyők,NK047,,
228,Otthon és kert > Konyhai termékek > Szilikon termékek,NK103,,
322,Otthon és kert > Konyhai termékek > Tálak,NK011,TYPE_NK011,konyhai tál
231,Otthon és kert > Konyhai termékek > Tepsik - sütőformák,NK105,,
487,Otthon és kert > Konyhai termékek > Tésztagépek,NK073,,
462,Otthon és kert > Konyhai termékek > Vízforralók,-,,
295,Otthon és kert > Ragasztók-Ragasztószalagok,ND182,,
192,Otthon és kert > Strandcikkek,ND121,,
235,"Otthon és kert > Szerszámok, kulcsok",ND179,,
491,"Otthon és kert > Szerszámok, kulcsok > Akkumulátorok",ND145,TYPE_ACCESSORY_ELECTRIC_TOOLS,töltő
485,Otthon és kert > Szivattyúk,ND208,,
212,Otthon és kert > Ventilátor,-,,
193,Sport és fitness,-,,
264,Sport és fitness > Egészség megőrzés,NL020,,
194,Sport és fitness > Étrendkiegészítő,-,,
303,Sport és fitness > Étrendkiegészítő >Immunerősítő,-,,
195,Sport és fitness > Étrendkiegészítő > ízületek és a porcok,-,,
259,Sport és fitness > Fogyókúra - Zsírégetés,NL020,,
263,Sport és fitness > Sportszerek,-,,
476,Sport és fitness > Sportszerek > Csónak,NA091,,
478,Sport és fitness > Sportszerek > Fitness,NA036,,
474,Sport és fitness > Sportszerek > Hálózsák,MP118FE,,
481,Sport és fitness > Sportszerek > Hátizsák,NA003,,
471,Sport és fitness > Sportszerek > Kerékpár táska,NB069,,
482,Sport és fitness > Sportszerek > Kerékpár üléshuzat,NB043,,
353,Sport és fitness > Sportszerek > Roller,NE075,USAGE_NE,Kültér
215,Sport és fitness > Stresszoldás - Masszírozók,EB010,,
163,Szépségápolás,-,,
257,"Szépségápolás > Arcápolás, krémek",-,,
318,Szépségápolás > Arctisztítás,MP071CS,,
260,"Szépségápolás > Bőrfeszesítés, zsírégetés",-,,
253,Szépségápolás > Egyéb kozmetikai termékek,NL027,,
310,Szépségápolás > Hajhosszabbítás,NL053,,
255,"Szépségápolás > Hajvágók, hajszárítók",EB013,,
483,Szépségápolás > Hajvasalók,EB052,,
261,Szépségápolás > Körömápolás,EB011,,
258,Szépségápolás > Parfüm,-,,
236,Szépségápolás > Szájápolás,NL027,,
323,"Szépségápolás > Szemöldök, szempilla",MP003CS,,
256,"Szépségápolás > Szörtelenítés, borotválkozás",EB037,,
254,"Szépségápolás > Talpápolás, talpbetét",NM023,,
252,"Szépségápolás > Tetoválás, testdísz",-,,
142,Ruházat,-,,
178,Ruházat > Fehérnemű,-,,
182,Ruházat > Fehérnemű > Alakformáló fehérnemű,-,,
184,Ruházat > Fehérnemű > Alsóneműk,-,,
183,Ruházat > Fehérnemű > Melltartók,-,,
179,Ruházat > Fehérnemű > Szexi fehérnemű,-,,
173,"Ruházat > Harisnyák, harisnyanadrágok",-,,
241,"Ruházat > Harisnyák, harisnyanadrágok > Karcsúsított harisnyák",-,,
174,Ruházat > Jelmezek,-,,
171,Ruházat > Nadrágok - szoknyák,-,,
181,Ruházat > Sapka-Fejpánt,-,,
172,Ruházat > Zoknik,-,,
145,Legújabb termékek,-,,
